Identyfikator Produktu (ID); Indeks produktu; Atrybut(Nazwa:Typ:Pozycja)*; Wartość(Wartość:Pozycja)*; Wpływ na cenę; Ilość 
18690;18690;Data:select:3, Godzina:select:4;10-27:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;10-28:3, 14-00:4;-4;250 
18690;18690;Data:select:3, Godzina:select:4;10-29:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;10-30:3, 14-00:4;-12;250 
18690;18690;Data:select:3, Godzina:select:4;11-01:3, 14-00:4;-8;250 
18690;18690;Data:select:3, Godzina:select:4;11-02:3, 14-00:4;-8;250 
19684;19684;Data:select:3, Godzina:select:4;10-30:3, 09-00:4;-12;250 
20803;20803;Data:select:3, Godzina:select:4;10-27:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;10-28:3, 11-30:4;-4;250 
20803;20803;Data:select:3, Godzina:select:4;10-29:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;10-30:3, 11-30:4;-12;250 
20803;20803;Data:select:3, Godzina:select:4;11-01:3, 11-30:4;-8;250 
20803;20803;Data:select:3, Godzina:select:4;11-02:3, 12-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-27:3, 11-45:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-27:3, 20-15:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-28:3, 11-45:4;-4;250 
20804;20804;Data:select:3, Godzina:select:4;10-28:3, 20-15:4;-4;250 
20804;20804;Data:select:3, Godzina:select:4;10-29:3, 12-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-29:3, 20-00:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;10-30:3, 11-45:4;-12;250 
20804;20804;Data:select:3, Godzina:select:4;10-30:3, 20-15:4;-12;250 
20804;20804;Data:select:3, Godzina:select:4;11-01:3, 12-10:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-01:3, 20-30:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 12-15:4;-8;250 
20804;20804;Data:select:3, Godzina:select:4;11-02:3, 20-00:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-27:3, 15-20:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-28:3, 15-20:4;-4;250 
20805;20805;Data:select:3, Godzina:select:4;10-29:3, 15-20:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;10-30:3, 15-20:4;-12;250 
20805;20805;Data:select:3, Godzina:select:4;11-01:3, 15-20:4;-8;250 
20805;20805;Data:select:3, Godzina:select:4;11-02:3, 15-20:4;-8;250 
21327;21327;Data:select:3, Godzina:select:4;10-27:3, 10-10:4;-9;250 
21327;21327;Data:select:3, Godzina:select:4;10-28:3, 10-10:4;-6;250 
21327;21327;Data:select:3, Godzina:select:4;10-29:3, 10-00:4;-9;250 
21327;21327;Data:select:3, Godzina:select:4;10-30:3, 10-10:4;-12;250 
21327;21327;Data:select:3, Godzina:select:4;11-01:3, 10-00:4;-9;250 
21327;21327;Data:select:3, Godzina:select:4;11-02:3, 10-20:4;-9;250 
21353;21353;Data:select:3, Godzina:select:4;10-27:3, 11-15:4;-9;250 
21353;21353;Data:select:3, Godzina:select:4;10-27:3, 15-00:4;-9;250 
21353;21353;Data:select:3, Godzina:select:4;10-28:3, 11-15:4;-6;250 
21353;21353;Data:select:3, Godzina:select:4;10-28:3, 15-00:4;-6;250 
21358;21358;Data:select:3, Godzina:select:4;10-27:3, 21-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;10-28:3, 21-00:4;-4;250 
21358;21358;Data:select:3, Godzina:select:4;10-28:3, 21-45:4;-4;250 
21358;21358;Data:select:3, Godzina:select:4;10-29:3, 15-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;10-29:3, 21-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;10-29:3, 21-45:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;10-30:3, 15-00:4;-12;250 
21358;21358;Data:select:3, Godzina:select:4;10-30:3, 21-00:4;-12;250 
21358;21358;Data:select:3, Godzina:select:4;10-30:3, 21-45:4;-12;250 
21358;21358;Data:select:3, Godzina:select:4;11-01:3, 15-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;11-01:3, 21-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;11-01:3, 21-45:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 15-10:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 21-00:4;-8;250 
21358;21358;Data:select:3, Godzina:select:4;11-02:3, 21-45:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;10-27:3, 17-15:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;10-28:3, 17-15:4;-4;250 
21362;21362;Data:select:3, Godzina:select:4;10-29:3, 11-40:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;10-29:3, 17-15:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;10-30:3, 11-15:4;-12;250 
21362;21362;Data:select:3, Godzina:select:4;10-30:3, 17-15:4;-12;250 
21362;21362;Data:select:3, Godzina:select:4;11-01:3, 11-40:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;11-01:3, 17-15:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;11-02:3, 11-40:4;-8;250 
21362;21362;Data:select:3, Godzina:select:4;11-02:3, 17-15:4;-8;250 
21363;21363;Data:select:3, Godzina:select:4;10-27:3, 10-00:4;-9;250 
21363;21363;Data:select:3, Godzina:select:4;10-28:3, 10-00:4;-6;250 
21363;21363;Data:select:3, Godzina:select:4;10-29:3, 10-00:4;-9;250 
21363;21363;Data:select:3, Godzina:select:4;10-30:3, 10-00:4;-12;250 
21363;21363;Data:select:3, Godzina:select:4;11-01:3, 10-00:4;-9;250 
21363;21363;Data:select:3, Godzina:select:4;11-02:3, 10-00:4;-9;250 
21364;21364;Data:select:3, Godzina:select:4;10-27:3, 13-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-27:3, 17-00:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-27:3, 19-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-27:3, 20-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-27:3, 21-00:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-28:3, 13-30:4;-4;250 
21364;21364;Data:select:3, Godzina:select:4;10-28:3, 17-00:4;-4;250 
21364;21364;Data:select:3, Godzina:select:4;10-28:3, 19-30:4;-4;250 
21364;21364;Data:select:3, Godzina:select:4;10-28:3, 20-30:4;-4;250 
21364;21364;Data:select:3, Godzina:select:4;10-29:3, 13-20:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-29:3, 16-45:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-29:3, 19-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-29:3, 20-20:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;10-30:3, 13-30:4;-12;250 
21364;21364;Data:select:3, Godzina:select:4;10-30:3, 17-00:4;-12;250 
21364;21364;Data:select:3, Godzina:select:4;10-30:3, 19-30:4;-12;250 
21364;21364;Data:select:3, Godzina:select:4;10-30:3, 20-30:4;-12;250 
21364;21364;Data:select:3, Godzina:select:4;11-01:3, 13-20:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-01:3, 16-45:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-01:3, 19-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-01:3, 20-20:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 13-20:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 16-45:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 19-30:4;-8;250 
21364;21364;Data:select:3, Godzina:select:4;11-02:3, 20-20:4;-8;250 
21557;21557;Data:select:3, Godzina:select:4;11-01:3, 10-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 10-45:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 14-45:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 16-45:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 18-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 20-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-27:3, 21-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 10-45:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 14-45:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 16-45:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 18-00:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 20-00:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-28:3, 21-10:4;-4;250 
21748;21748;Data:select:3, Godzina:select:4;10-29:3, 10-15:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-29:3, 14-45:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-29:3, 17-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-29:3, 20-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-29:3, 20-30:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 10-45:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 14-45:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 16-45:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 18-00:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 20-00:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;10-30:3, 21-10:4;-12;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 10-15:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 15-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 17-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 18-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 20-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-01:3, 21-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 10-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 14-50:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 17-00:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 20-10:4;-8;250 
21748;21748;Data:select:3, Godzina:select:4;11-02:3, 20-30:4;-8;250 
21754;21754;Data:select:3, Godzina:select:4;10-30:3, 10-00:4;-12;250 
21836;21836;Data:select:3, Godzina:select:4;10-29:3, 18-00:4;-8;250 
22142;22142;Data:select:3, Godzina:select:4;10-27:3, 12-20:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-27:3, 14-15:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-27:3, 17-45:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-28:3, 12-20:4;-6;250 
22142;22142;Data:select:3, Godzina:select:4;10-28:3, 14-15:4;-6;250 
22142;22142;Data:select:3, Godzina:select:4;10-28:3, 17-45:4;-6;250 
22142;22142;Data:select:3, Godzina:select:4;10-29:3, 12-20:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-29:3, 14-30:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-29:3, 17-45:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;10-30:3, 12-20:4;-12;250 
22142;22142;Data:select:3, Godzina:select:4;10-30:3, 14-15:4;-12;250 
22142;22142;Data:select:3, Godzina:select:4;10-30:3, 17-45:4;-12;250 
22142;22142;Data:select:3, Godzina:select:4;11-01:3, 12-50:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;11-01:3, 14-30:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;11-01:3, 17-45:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;11-02:3, 12-30:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;11-02:3, 14-40:4;-9;250 
22142;22142;Data:select:3, Godzina:select:4;11-02:3, 17-45:4;-9;250 
22199;22199;Data:select:3, Godzina:select:4;11-02:3, 10-00:4;-8;250 
22204;22204;Data:select:3, Godzina:select:4;11-02:3, 13-00:4;-8;250 
22204;22204;Data:select:3, Godzina:select:4;11-02:3, 18-00:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;10-27:3, 12-30:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;10-27:3, 18-15:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;10-28:3, 12-30:4;-4;250 
22388;22388;Data:select:3, Godzina:select:4;10-28:3, 18-15:4;-4;250 
22388;22388;Data:select:3, Godzina:select:4;10-29:3, 12-45:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;10-29:3, 18-15:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;10-30:3, 12-30:4;-12;250 
22388;22388;Data:select:3, Godzina:select:4;10-30:3, 18-15:4;-12;250 
22388;22388;Data:select:3, Godzina:select:4;11-01:3, 12-30:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;11-01:3, 18-15:4;-8;250 
22388;22388;Data:select:3, Godzina:select:4;11-02:3, 18-15:4;-8;250 
22391;22391;Data:select:3, Godzina:select:4;11-08:3, 18-00:4;-8;250 
22510;22510;Data:select:3, Godzina:select:4;10-27:3, 11-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-27:3, 13-40:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-27:3, 16-20:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-27:3, 18-45:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-28:3, 13-40:4;-6;250 
22510;22510;Data:select:3, Godzina:select:4;10-28:3, 16-20:4;-6;250 
22510;22510;Data:select:3, Godzina:select:4;10-28:3, 19-00:4;-6;250 
22510;22510;Data:select:3, Godzina:select:4;10-29:3, 11-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-29:3, 13-40:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-29:3, 16-20:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-29:3, 19-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;10-30:3, 11-00:4;-12;250 
22510;22510;Data:select:3, Godzina:select:4;10-30:3, 13-40:4;-12;250 
22510;22510;Data:select:3, Godzina:select:4;10-30:3, 16-20:4;-12;250 
22510;22510;Data:select:3, Godzina:select:4;10-30:3, 19-00:4;-12;250 
22510;22510;Data:select:3, Godzina:select:4;11-01:3, 11-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-01:3, 13-40:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-01:3, 16-20:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-01:3, 19-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-02:3, 11-00:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-02:3, 13-40:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-02:3, 16-20:4;-9;250 
22510;22510;Data:select:3, Godzina:select:4;11-02:3, 19-00:4;-9;250 
22519;22519;Data:select:3, Godzina:select:4;11-04:3, 10-30:4;-9;250 
22519;22519;Data:select:3, Godzina:select:4;11-04:3, 14-30:4;-9;250 
22519;22519;Data:select:3, Godzina:select:4;11-05:3, 10-30:4;-9;250 
22519;22519;Data:select:3, Godzina:select:4;11-05:3, 14-30:4;-9;250 
22519;22519;Data:select:3, Godzina:select:4;11-06:3, 18-30:4;-9;250 
22520;22520;Data:select:3, Godzina:select:4;11-04:3, 11-15:4;-9;250 
22520;22520;Data:select:3, Godzina:select:4;11-04:3, 13-40:4;-9;250 
22520;22520;Data:select:3, Godzina:select:4;11-05:3, 11-15:4;-9;250 
22520;22520;Data:select:3, Godzina:select:4;11-05:3, 13-40:4;-9;250 
22520;22520;Data:select:3, Godzina:select:4;11-06:3, 17-00:4;-9;250 
22521;22521;Data:select:3, Godzina:select:4;11-04:3, 11-50:4;-9;250 
22521;22521;Data:select:3, Godzina:select:4;11-05:3, 11-50:4;-9;250 
22521;22521;Data:select:3, Godzina:select:4;11-06:3, 17-30:4;-9;250 
22522;22522;Data:select:3, Godzina:select:4;11-04:3, 10-00:4;-9;250 
22522;22522;Data:select:3, Godzina:select:4;11-05:3, 10-00:4;-9;250 
22522;22522;Data:select:3, Godzina:select:4;11-06:3, 15-40:4;-9;250 
